"id","idasientopre","cuando","ejemplo","nota"
"11","11","Cuando recibes el pago de un cliente en tu cuenta bancaria (transferencia, domiciliación...).","Transferencia de 'Almacenes Pérez' de 4.235 €:
• A = 0 (banco) | B = 4.235
Resultado: entra dinero en el banco, cancela la deuda del cliente.","FORMAS DE COBRO HABITUALES:
• Transferencia bancaria: cuenta 572 directamente.
• Bizum: igual que transferencia, cuenta 572. Ver asiento #166 para más detalle.
• Tarjeta: el banco ingresa el neto (menos comisión TPV). La comisión va a cuenta 626.
• Efectivo: usa el asiento #30 (cuenta 570).
• Cheque: cuenta 5764 hasta que se hace efectivo.

NOVEDAD BIZUM FEBRERO 2026:
Desde febrero de 2026 los bancos informan mensualmente a la AEAT de todos los cobros Bizum de autónomos y empresas. Asegúrate de tener facturado y declarado cada cobro Bizum de tu actividad.

REMESAS / PAGOS MÚLTIPLES:
Si recibes una transferencia que cubre varias facturas, haz un solo asiento por el total y relaciona cada factura en las notas de la operación."
"12","12","Cuando transfieres el dinero al proveedor para pagar su factura.","Transferencia de 2.420 € a 'Distribuciones García':
• A = 0 (banco) | B = 2.420
Resultado: sale dinero del banco, cancela la deuda con el proveedor.","Usa siempre este asiento DESPUÉS del #9 (compra) o #86 (materias primas)."
"13","13","Una vez al año (o mensualmente) para repartir el coste de cada bien material entre los años de su vida útil.","Maquinaria comprada por 12.000 €, vida útil 10 años, amortización anual 1.200 €:
• A = 001 (terminación activo) | B = 1.200
Resultado: gasto 1.200 €, aumenta la amortización acumulada.","Usa los asientos #35-#43 para tipos específicos de inmovilizado. Este es el genérico (usa cuenta 2813)."
"14","14","Una vez al año para amortizar activos intangibles (software, patentes, concesiones...).","Software comprado por 2.400 €, vida útil 3 años, amortización anual 800 €:
• A = 001 | B = 800
Resultado: gasto 800 €, aumenta amortización acumulada intangible.","Usa los asientos #45-#48 para tipos específicos de intangible. Este usa la cuenta 2806 (aplicaciones informáticas)."
"15","15","Cuando compras maquinaria, mobiliario, equipos u otros bienes materiales que van a durar más de un año.","Compra de fresadora: 8.000 € + 1.680 € IVA, pago a 60 días:
• A = 001 (terminación activo 213) | B = 8.000 | C = 1.680
Resultado: activo 8.000 €, IVA 1.680 €, deuda con proveedor 9.680 €.","Adapta la cuenta 213 según el tipo: 211=construcciones, 212=instalaciones, 216=mobiliario, 217=equipos informáticos, 218=vehículos."
"16","16","Cada mes cuando pagas el alquiler del local, oficina, nave industrial o cualquier inmueble donde desarrollas tu actividad.","Alquiler mensual: 800 € + 168 € IVA (21%) = 968 €. Arrendador empresa (sin retención):
• A = 001 | B = 800 | C = 168
Resultado: gasto 800 €, IVA 168 €, deuda 968 €.","SEGÚN EL TIPO DE ARRENDADOR:
• Persona JURÍDICA (SL, SA): con IVA 21%, sin retención. Este asiento tal cual.
• Persona FÍSICA: con IVA 21% + retención IRPF 19%. Neto a pagar = base × 81% + IVA. Añade una línea en cuenta 4751 por la retención (ingresa trimestralmente con el asiento #7).
• Local exento de IVA (uso no empresarial): sin IVA, C = 0.
• Fianza inicial: NO es gasto. Usa el asiento #79."
"17","17","Cuando recibes la factura de electricidad, agua o gas del local o nave de la empresa.","Factura eléctrica: 320 € base + 67,20 € IVA (21%) = 387,20 €
• A = 001 | B = 320 | C = 67,20","TIPOS DE IVA EN SUMINISTROS:
• Electricidad: 21% general. Para PVPC con potencia ≤ 10 kW puede aplicar el 10% → asiento #132.
• Gas natural calefacción: 21% general (ha habido reducciones temporales, verifica vigencia en AEAT).
• Agua: 10% → asiento #142.
• Gasoil de calefacción (gasóleo B): 21% → asiento #136.

AUTÓNOMOS EN VIVIENDA: solo deducible la parte proporcional al espacio de actividad → asiento #129."
"18","18","Para facturas de reparaciones, mantenimiento o conservación de elementos de tu empresa.","Reparación de maquinaria: 600 € + 126 € IVA (21%):
• A = 002 (terminación acreedor) | B = 600 | C = 126
Resultado: gasto 600 €, IVA deducible 126 €, deuda con taller 726 €.","IMPORTANTE: las reparaciones son GASTO (cuenta 622). Las mejoras que aumentan la vida útil del bien son INVERSIÓN y deben activarse como inmovilizado, no como gasto."
"19","19","Cuando recibes una factura de un gestor, asesor, abogado u otro profesional persona física en estimación directa que aplica retención IRPF (15% general; 7% los primeros 3 años de actividad).","Gestoría: 400 € base + 84 € IVA - 60 € retención (15%) = 424 € netos a pagar
• A = 003 | B = 400 | R = 60","¿CUÁNDO HAY RETENCIÓN?
• Profesional persona física estimación directa: SÍ (15% o 7% primeros 3 años).
• Sociedad (SL, SA): NO → asiento #102.
• Profesional en módulos: indica en factura que no retiene; NO retención.

LA RETENCIÓN se ingresa a Hacienda trimestralmente con el asiento #6 (modelo 111)."
"20","20","Cada mes cuando el banco te carga los intereses de un préstamo.","Intereses mensuales de préstamo: 150 €:
• A = 0 (banco) | B = 150
Resultado: gasto financiero 150 €, sale dinero del banco.","Los intereses son deducibles en IS/IRPF. El capital amortizado del préstamo NO es gasto (usa el asiento #57 para registrar capital + intereses juntos)."
"21","21","Cuando te conceden una subvención de una administración pública para financiar gastos corrientes de tu actividad.","Subvención del SEPE para contratación de 3.000 €:
• A = 0 (H.P. deudora 4708) | B = 3.000
Resultado: crédito con Hacienda 3.000 €, ingreso del ejercicio 3.000 €.","Este asiento es para subvenciones de EXPLOTACIÓN (gastos corrientes). Para subvenciones de capital (compra de bienes), usa el asiento #81."
"22","22","Cuando tienes evidencia objetiva de que un cliente no va a pagar: lleva más de 6 meses sin pagar, está en concurso de acreedores, hay reclamación judicial…","Cliente en concurso de acreedores que te debe 2.000 €. Dotas el 100%:
• A = 001 (deterioro 490) | B = 2.000
Resultado: gasto deterioro 2.000 € (cuenta 694), fondo corrector 2.000 € (cuenta 490).","DEDUCIBLE EN IS (art. 13 LIS) cuando se cumple ALGUNA de estas condiciones:
• Más de 6 meses desde el vencimiento.
• Deudor en concurso de acreedores.
• Reclamación judicial o arbitral.

NO deducibles: créditos con Administraciones Públicas, con partes vinculadas (grupo/socios > 25%), o con garantía real.

SI COBRAS DESPUÉS: revierte con 490 debe / 794 haber."
"23","23","Cuando pagas la prima anual de cualquier seguro relacionado con tu actividad: responsabilidad civil, seguro del local, seguro del vehículo de empresa, seguro multirriesgo, seguro de vida del empresario (si cubre riesgo de la empresa)...","Prima anual seguro responsabilidad civil: 650 €:
• A = 0 | B = 650
Resultado: gasto anticipado 650 € (cuenta 480), sale dinero del banco.","Los seguros están EXENTOS de IVA (art. 20.Uno.16 LIVA). Nunca añadas IVA.
La cuenta 480 (gastos anticipados) refleja que el seguro cubre un período futuro. Si el seguro cubre solo el año en curso, puedes llevarlo directamente a la cuenta 625 (primas de seguros) sin pasar por 480.
El seguro de vida del empresario autónomo NO es deducible salvo que cubra riesgo empresarial."
"24","24","Anual. Liquidación definitiva del Impuesto de Sociedades.

PLAZO: del 1 al 25 de julio (para ejercicios cerrados el 31/12).

Solo para SL, SA y otras entidades sujetas al IS. Los autónomos y comunidades de bienes NO presentan el modelo 200.","IS del ejercicio: 12.500 €. Pagos fraccionados (modelo 202) ya realizados: 3.600 €. A pagar: 8.900 €:
• A = 0 (H.P. acreedora IS 4752) | B = 8.900","QUIÉN PRESENTA EL 200:
• SL y SA: SIEMPRE, aunque no hayan tenido actividad ni beneficios.
• Sociedad Civil con objeto mercantil: SÍ (desde 2016).
• Asociaciones, fundaciones, cooperativas: en IS con tipos especiales.
• Comunidad de Bienes: NO tributa en IS. Cada comunero imputa su parte en su IRPF o IS propio. Presenta el modelo 184 (informativo de atribución de rentas) en enero.
• Autónomos individuales: NO (tributan en IRPF con modelo 100).

ANTES DEL PAGO:
Usa el asiento #62 al cierre del ejercicio para registrar el gasto del IS. Descuenta los pagos fraccionados del modelo 202 (asiento #116) para calcular el neto real a pagar."
"25","25","Cuando la junta de socios acuerda repartir dividendos.","Beneficio del ejercicio: 25.000 €. Se acuerda repartir 10.000 € como dividendos:
• A = 0 (resultado 129) | B = 10.000
Resultado: reduce el resultado (129), crea deuda dividendo a pagar (526).","El pago efectivo al socio (cuando se transfiere el dinero) se registra con: 526 debe / 572 haber. Los dividendos a socios personas físicas llevan retención del 19%."
"26","26","Al final de cada trimestre, ANTES del modelo 303. Salda las cuentas de IVA repercutido (477) e IVA soportado (472) y deja el resultado neto en cuenta 4750 (a pagar) o 4700 (a devolver).

Todos los sujetos pasivos de IVA lo hacen: autónomos (cualquier régimen), comunidades de bienes, SL, SA.","IVA repercutido: 3.000 € | IVA soportado: 1.200 € | Resultado a pagar: 1.800 €:
• A = 0 | B = 3.000 (total repercutido del trimestre)","CASOS POR RÉGIMEN:
• ESTIMACIÓN DIRECTA (normal o simplificada): IVA calculado por facturas reales. Usa este asiento normalmente.
• MÓDULOS con régimen simplificado IVA: el IVA devengado se calcula por índices. La mecánica de regularización es diferente; consulta con tu gestor.
• RECARGO DE EQUIVALENCIA (minoristas): NO presentan el 303 ni hacen este asiento.
• REAGYP (agricultura, ganadería, pesca): sin IVA en sus operaciones, tampoco presentan el 303.
• Autónomos exentos de IVA: NO usan este asiento.
• PRORRATA: si haces operaciones exentas y sujetas a IVA, solo puedes deducir la proporción de ventas sujetas. El cálculo de la prorrata se cierra anualmente."
"27","27","Al cierre del ejercicio, cuando destinas parte del beneficio a reservas voluntarias (en lugar de repartirlo como dividendos).","Beneficio del ejercicio: 25.000 €. Se destinan 12.500 € a reservas voluntarias:
• A = 0 (resultado 129) | B = 12.500
Resultado: reduce el resultado (129), aumentan las reservas voluntarias (113).","Recuerda que las sociedades están obligadas a dotar PRIMERO la reserva legal (10% del beneficio hasta el 20% del capital). Usa el asiento #65 para eso."
"28","28","Cuando un cliente devuelve mercancía y emites una nota de abono. Revierte parcialmente la factura de venta original.","Cliente devuelve género por 800 € + 168 € IVA. Emites nota de abono:
• A = 001 (terminación cliente) | B = 800
Resultado: reduce el ingreso de ventas (700), reduce IVA repercutido (477), abona al cliente.","La nota de abono debe emitirse con los mismos tipos impositivos que la factura original."
"29","29","Cuando devuelves mercancía al proveedor y él emite una nota de abono. Revierte parcialmente la factura de compra original.","Devuelves género defectuoso por 500 € + 105 € IVA:
• A = 001 (terminación proveedor) | B = 500
Resultado: reduce la compra (600), reduce IVA soportado (472), abona el proveedor.",""
"30","30","Cuando un cliente te paga en mano, en efectivo.","Cliente paga 242 € en efectivo (200 € + 42 € IVA):
• A = 0 (caja 570) | B = 242
Resultado: entra dinero en caja, cancela la deuda del cliente.","LÍMITE LEGAL: los pagos en efectivo entre empresarios están limitados a 1.000 € por operación (Ley 11/2021 antifraude). Por encima de esa cifra, el gasto no es deducible y puede conllevar sanción."
"31","31","Cuando compras mercancías o materiales a un proveedor de otro país de la Unión Europea. La factura llega sin IVA y debes autorepercutirte el IVA español.","Componentes de proveedor alemán: 5.000 €. Autorepercutes IVA 21% = 1.050 €
• A = 001 (proveedor UE 4004) | B = 5.000 | C = 1.050
Resultado: IVA neutro (1.050 € en 472 y en 477), deuda proveedor UE 5.000 €.","OBLIGACIONES FORMALES:
• Modelo 303: declarar IVA devengado y soportado de la operación.
• Modelo 349: declarar NIF intracomunitario del proveedor y el importe (mes siguiente al trimestre).
• Verificar NIF intracomunitario en el censo VIES antes de recibir la factura.

SI EL PROVEEDOR TE COBRA IVA EXTRANJERO: pídele factura rectificativa sin IVA. No puedes deducir IVA de otro país en el modelo 303 español."
"32","32","Cuando vendes mercancías a una empresa de otro país de la UE. La factura va sin IVA (tipo 0%, exenta).","Venta de mobiliario a empresa francesa: 8.000 €. Factura sin IVA:
• A = 001 (cliente UE 4304) | B = 8.000
Resultado: ingreso 8.000 €, derecho de cobro sin IVA.","REQUISITO: debes tener el NIF intracomunitario del cliente (ej. FR12345678) y verificarlo en VIES. Sin este requisito, la venta lleva IVA español del 21%. Declara en modelo 349."
"33","33","Cuando contratas un servicio a una empresa de otro país de la UE (diseño, programación, consultoría...). Debes autorepercutirte el IVA.","Empresa holandesa de software: 2.000 €. Autorepercutes 21%:
• A = 001 (acreedor UE 410) | B = 2.000 | C = 420 (2.000 × 21%)
Resultado: IVA neutro, gasto 2.000 €, deuda con proveedor UE 2.000 €.","Declarar en modelo 303 y modelo 349. La factura del proveedor UE no lleva IVA; eres tú quien lo anota en ambos lados."
"34","34","Cuando prestas un servicio a una empresa de otro país de la UE. La factura va sin IVA (exenta).","Consultoría a empresa italiana: 3.000 €. Factura sin IVA:
• A = 002 (cliente UE 4304) | B = 3.000
Resultado: ingreso 3.000 €, derecho de cobro sin IVA.","Declara en modelo 349. El cliente italiano se autorepercutirá el IVA en su país."
"35","35","Amortización anual de construcciones (edificios, naves, locales propios). Coeficiente máximo: 3% anual.","Nave industrial: 200.000 €. Vida útil 33 años. Amortización anual 6.000 €:
• A = 001 | B = 6.000","Terrenos NO se amortizan (no tienen vida útil finita)."
"36","36","Amortización anual de instalaciones técnicas.","Instalación eléctrica: 15.000 €. 10 años. Amortización anual 1.500 €:
• A = 001 | B = 1.500",""
"37","37","Amortización anual de maquinaria. Coeficiente máximo: 12% anual (vida mínima 8,3 años).","Maquinaria CNC: 24.000 €. 10 años. Amortización anual 2.400 €:
• A = 001 | B = 2.400","Las PYMES pueden amortizar más rápido con el régimen de libertad de amortización."
"38","38","Amortización anual de utillaje (herramientas, moldes, útiles de producción).","Utillaje: 3.000 €. 6 años. Amortización anual 500 €:
• A = 001 | B = 500",""
"39","39","Amortización anual de otras instalaciones (aire acondicionado, alarmas, rótulos...).","Instalación climatización: 8.000 €. 10 años. Amortización anual 800 €:
• A = 001 | B = 800",""
"40","40","Amortización anual de mobiliario de oficina o comercial. Coeficiente máximo: 10% anual.","Mobiliario oficina: 5.000 €. 10 años. Amortización anual 500 €:
• A = 001 | B = 500",""
"41","41","Amortización anual de equipos informáticos (ordenadores, tablets, impresoras). Coeficiente máximo: 25% anual.","Ordenador: 1.200 €. 4 años. Amortización anual 300 €:
• A = 001 | B = 300","Los móviles y tablets de empresa también van aquí. Ver asiento #128 para la compra."
"42","42","Amortización anual de vehículos (furgonetas, camiones, coches de empresa). Coeficiente máximo: 16% anual.","Furgoneta: 20.000 €. 7 años. Amortización anual 2.857 €:
• A = 001 | B = 2.857","Vehículos de uso mixto (empresa + personal): la amortización deducible es proporcional al uso empresarial. Consulta con tu gestor."
"43","43","Amortización anual de cualquier inmovilizado material no clasificado en los anteriores.","Otro inmovilizado: 4.000 €. 8 años. Amortización anual 500 €:
• A = 001 | B = 500",""
"44","44","Amortización anual de inmuebles alquilados como inversión (no para uso propio de la empresa).","Local de inversión: 120.000 €. 33 años. Amortización anual 3.636 €:
• A = 001 | B = 3.636","El suelo del inmueble NO se amortiza. Solo el edificio/construcción."
"45","45","Amortización anual de software y aplicaciones informáticas. Coeficiente máximo: 33% anual.","ERP empresarial: 6.000 €. 3 años. Amortización anual 2.000 €:
• A = 001 | B = 2.000","Las suscripciones mensuales de software (SaaS) son gasto directo en el mes, no se activan ni amortizan."
"46","46","Amortización anual de patentes, marcas y propiedad industrial.","Patente: 10.000 €. 10 años. Amortización anual 1.000 €:
• A = 001 | B = 1.000",""
"47","47","Amortización anual de concesiones administrativas (licencias, concesiones de explotación...).","Concesión administrativa: 50.000 €. 20 años. Amortización anual 2.500 €:
• A = 001 | B = 2.500",""
"48","48","Amortización anual de proyectos de I+D activados como inmovilizado.","Proyecto I+D activado: 30.000 €. 5 años. Amortización anual 6.000 €:
• A = 001 | B = 6.000","Los gastos de I+D solo se activan si cumplen los criterios del PGC (viabilidad técnica y económica). Si hay dudas, mejor llevarlos a gasto directo."
"49","49","Cuando existe un litigio en curso o una reclamación que podría derivar en un pago futuro incierto.","Demanda laboral de un ex-empleado que podría costar 5.000 €:
• A = 0 | B = 5.000
Resultado: gasto 5.000 €, provisión en balance 5.000 €.","La provisión debe estar justificada y ser probable. No se puede dotar para reducir beneficios artificialmente."
"50","50","Cuando Hacienda inicia una inspección o hay una liquidación provisional que podrías tener que pagar.","Acta de inspección provisional por 8.000 €:
• A = 0 | B = 8.000","Si el recurso prospera, reviértela con el asiento #52."
"51","51","Cuando la empresa planifica formalmente un proceso de reestructuración (ERE, cierre de unidades...).","Provisión para indemnizaciones de ERE: 25.000 €:
• A = 0 | B = 25.000","Requiere que el plan de reestructuración esté aprobado y anunciado formalmente."
"52","52","Cuando la causa que motivó la provisión desaparece (el litigio se gana, la inspección se archiva...).","Se resuelve el litigio a tu favor. Revertir provisión de 5.000 €:
• A = 0 | B = 5.000
Resultado: ingreso 5.000 € (7952), cancela provisión (142).",""
"53","53","Cuando un bien previamente deteriorado recupera parte de su valor de mercado.","Maquinaria con deterioro dotado de 2.000 € que recupera valor:
• A = 001 | B = 2.000
Resultado: reduce el deterioro acumulado (2910), ingreso por reversión (791).","Requiere tener previamente creada la subcuenta 2910 en el plan de cuentas."
"54","54","Cuando vendes un bien de la empresa por MÁS de su valor contable (coste histórico menos amortización acumulada).","Vehículo: coste 15.000 €, amortización acumulada 9.000 €, valor neto 6.000 €. Vendes por 7.500 €:
• A = 001 | B = 15.000 (valor bruto) | C = 9.000 (amort. acumulada) | D = 7.500 (precio venta)
Beneficio Z = 7.500 - 6.000 = 1.500 €.","La variable B es el VALOR BRUTO (coste histórico original), no el valor neto."
"55","55","Cuando vendes un bien de la empresa por MENOS de su valor contable.","Ordenador: coste 3.000 €, amortización 2.400 €, valor neto 600 €. Vendes por 300 €:
• A = 001 | B = 3.000 | C = 2.400 | D = 300
Pérdida Z = 600 - 300 = 300 €.","La pérdida (cuenta 671) es deducible en IS siempre que sea real y documentada."
"56","56","Cuando el banco te concede un préstamo y te ingresa el dinero. Puede ser a corto plazo (CP < 1 año → cuenta 5200) o largo plazo (LP > 1 año → cuenta 170).","Préstamo a 5 años de 50.000 €:
• A = 0 (banco) | B = 50.000
Resultado: entra dinero en banco, deuda LP (cuenta 170) 50.000 €.","TIPOS DE PRÉSTAMO:
• LP (> 1 año): cuenta 170. Al cierre de cada ejercicio, reclasifica a CP (5200) la cuota del año siguiente.
• CP (< 1 año): cuenta 5200 directamente.
• Hipotecario: el inmueble va en el activo (211) y el préstamo en pasivo (170/5200). Los gastos de formalización se pueden activar o llevar a gasto.
• Préstamo de socio: usa el asiento #84 (cuenta 551)."
